Date,Active_Signals,Max_Alpha,Min_Alpha,Avg_Alpha_Magnitude
2016-01-06,6,0.0018518210368428534,-0.0015526750532081136,0.0008170664670787799
2016-04-07,4,0.001424474063458836,-0.0014161341146059281,0.000664880236525943
2016-07-07,3,0.0013200451918632572,-0.0017219794118064503,0.0007127639205166086
2016-10-05,4,0.0018639084007288798,-0.0014504603447000818,0.0006716488732798256
2017-01-05,1,0.0009070787960533467,-0.00155857936719071,0.0005128981058214224
2017-04-06,5,0.0015829183602081522,-0.00135580151871043,0.0006972179800902911
2017-07-07,3,0.001383870626893784,-0.0016139457664637513,0.0006685452675050484
2017-10-06,4,0.0014568308367028716,-0.0014139457664637523,0.0005523538025697275
2018-01-08,5,0.0014795359290191556,-0.0016719352788679264,0.000664365661998267
2018-04-10,6,0.0013604287607209887,-0.001615566592771276,0.0008010942243068693
2018-07-10,3,0.0012478960976398024,-0.0013455105607270757,0.0005658483209574464
2018-10-08,3,0.0010522645649064133,-0.0014391542992393325,0.0005829135214466965
2019-01-09,5,0.001904255647484292,-0.0023104593248478135,0.0009339871661481619
2019-04-10,4,0.0011729831074137054,-0.0019104593248478142,0.0006637833541387779
2019-07-11,3,0.0007566457767702639,-0.0013844676127265343,0.000581486297380184
